"geo_id","dist_to_nearest_ballot_box_km","block_group_name","total_voting_age_pop","num_voted"
"1500000US530050113002","0.365462502277471","Block Group 2, Census Tract 113, Benton County, Washington","762","380"
"1500000US530050113003","0.780632570516444","Block Group 3, Census Tract 113, Benton County, Washington","1172","468"
"1500000US530050113004","1.47684017275761","Block Group 4, Census Tract 113, Benton County, Washington","843","342"
"1500000US530050114011","1.41342578114173","Block Group 1, Census Tract 114.01, Benton County, Washington","1183","572"
"1500000US530050114012","1.0826398940567","Block Group 2, Census Tract 114.01, Benton County, Washington","751","435"
"1500000US530050114013","1.29137836660725","Block Group 3, Census Tract 114.01, Benton County, Washington","1080","362"
"1500000US530050114021","2.09603486648269","Block Group 1, Census Tract 114.02, Benton County, Washington","578","454"
"1500000US530050114022","1.8578273160607","Block Group 2, Census Tract 114.02, Benton County, Washington","615","410"
"1500000US530050114023","2.20449900641734","Block Group 3, Census Tract 114.02, Benton County, Washington","495","308"
"1500000US530050114024","2.82109308350507","Block Group 4, Census Tract 114.02, Benton County, Washington","1235","946"
"1500000US530050114025","3.23803671107836","Block Group 5, Census Tract 114.02, Benton County, Washington","1159","935"
"1500000US530050115011","6.99152353755","Block Group 1, Census Tract 115.01, Benton County, Washington","1066","680"
"1500000US530050115012","4.44671447911872","Block Group 2, Census Tract 115.01, Benton County, Washington","1011","511"
"1500000US530050115013","3.42099364273633","Block Group 3, Census Tract 115.01, Benton County, Washington","931","466"
"1500000US530050115014","5.18430034792827","Block Group 4, Census Tract 115.01, Benton County, Washington","1398","865"
"1500000US530050115015","3.39117233140906","Block Group 5, Census Tract 115.01, Benton County, Washington","833","553"
"1500000US530050115041","6.33086717265181","Block Group 1, Census Tract 115.04, Benton County, Washington","638","296"
"1500000US530050115042","4.08589718521596","Block Group 2, Census Tract 115.04, Benton County, Washington","1759","1362"
"1500000US530050115051","3.86029801680212","Block Group 1, Census Tract 115.05, Benton County, Washington","1252","812"
"1500000US530050115052","3.78119574800035","Block Group 2, Census Tract 115.05, Benton County, Washington","728","387"
"1500000US530050115053","4.61828464535413","Block Group 3, Census Tract 115.05, Benton County, Washington","1511","1213"
"1500000US530050115061","5.03322746428584","Block Group 1, Census Tract 115.06, Benton County, Washington","1675","1491"
"1500000US530050115062","3.80443732797745","Block Group 2, Census Tract 115.06, Benton County, Washington","1601","1108"
"1500000US530050115063","3.97361422557427","Block Group 3, Census Tract 115.06, Benton County, Washington","1516","1235"
"1500000US530050116001","31.5865282842797","Block Group 1, Census Tract 116, Benton County, Washington","607","86"
"1500000US530050117011","1.31205981732706","Block Group 1, Census Tract 117.01, Benton County, Washington","1883","688"
"1500000US530050117021","0.16262533616477","Block Group 1, Census Tract 117.02, Benton County, Washington","475","255"
"1500000US530050117022","1.63177625798751","Block Group 2, Census Tract 117.02, Benton County, Washington","833","400"
"1500000US530050117023","1.21431854881073","Block Group 3, Census Tract 117.02, Benton County, Washington","1151","566"
"1500000US530050117024","0.667974312429853","Block Group 4, Census Tract 117.02, Benton County, Washington","1034","722"
"1500000US530050118011","4.63566645715559","Block Group 1, Census Tract 118.01, Benton County, Washington","763","310"
"1500000US530050118012","7.40666936661318","Block Group 2, Census Tract 118.01, Benton County, Washington","996","511"
"1500000US530050118013","11.0187400223746","Block Group 3, Census Tract 118.01, Benton County, Washington","697","438"
"1500000US530050118021","11.3268990937327","Block Group 1, Census Tract 118.02, Benton County, Washington","477","145"
"1500000US530050118022","5.44475268685667","Block Group 2, Census Tract 118.02, Benton County, Washington","910","537"
"1500000US530050118023","5.5905619008187","Block Group 3, Census Tract 118.02, Benton County, Washington","922","418"
"1500000US530050119001","1.44052694837993","Block Group 1, Census Tract 119, Benton County, Washington","1448","640"
"1500000US530050119002","0.573996566646097","Block Group 2, Census Tract 119, Benton County, Washington","1069","380"
"1500000US530050119003","1.12990881383628","Block Group 3, Census Tract 119, Benton County, Washington","799","249"
"1500000US530050119004","5.40472758004111","Block Group 4, Census Tract 119, Benton County, Washington","1461","813"
"1500000US530050120001","17.9312619362651","Block Group 1, Census Tract 120, Benton County, Washington","12","0"
"1500000US530079601001","1.21431032570768","Block Group 1, Census Tract 9601, Chelan County, Washington","1146","464"
"1500000US530079601002","20.6359212241829","Block Group 2, Census Tract 9601, Chelan County, Washington","963","358"
"1500000US530079602011","1.4206327741726","Block Group 1, Census Tract 9602.01, Chelan County, Washington","759","511"
"1500000US530079602012","2.93569018395793","Block Group 2, Census Tract 9602.01, Chelan County, Washington","513","334"
"1500000US530079602013","0.285892091519802","Block Group 3, Census Tract 9602.01, Chelan County, Washington","1014","745"
"1500000US530079602014","0.941489781430549","Block Group 4, Census Tract 9602.01, Chelan County, Washington","1074","702"
"1500000US530079602021","14.3754640551672","Block Group 1, Census Tract 9602.02, Chelan County, Washington","624","371"
"1500000US530079602022","10.5651220957898","Block Group 2, Census Tract 9602.02, Chelan County, Washington","901","553"
"1500000US530079602031","25.3630222840257","Block Group 1, Census Tract 9602.03, Chelan County, Washington","834","506"
"1500000US530079603011","14.7527293781742","Block Group 1, Census Tract 9603.01, Chelan County, Washington","671","418"
"1500000US530079603012","2.90662077404622","Block Group 2, Census Tract 9603.01, Chelan County, Washington","578","116"
"1500000US530079603013","3.21338214366772","Block Group 3, Census Tract 9603.01, Chelan County, Washington","934","335"
